iter	Logloss
0	0.6684768537
1	0.6470831938
2	0.6253667774
3	0.6076195046
4	0.5902251395
5	0.5748486713
6	0.5595557068
7	0.5449953588
8	0.5303570707
9	0.5188430947
10	0.5064195733
11	0.4940229565
12	0.4843798645
13	0.4759914862
14	0.4670913091
15	0.4568351774
16	0.4482799558
17	0.4396284258
18	0.4320447518
19	0.4260861192
20	0.4195548533
21	0.4129557938
22	0.4086494476
23	0.4031938093
24	0.3988333817
25	0.393894867
26	0.3895475939
27	0.3852462676
28	0.3818573867
29	0.3781578216
30	0.3734110312
31	0.3699106308
32	0.3666629038
33	0.3632088951
34	0.3599075635
35	0.3558846947
36	0.3525580756
37	0.3506200498
38	0.348304515
39	0.3459026356
40	0.3437846943
41	0.3416955071
42	0.3394983645
43	0.3379994006
44	0.3355929752
45	0.3329912996
46	0.3315148385
47	0.3298613606
48	0.328078157
49	0.326443901
50	0.3246996035
51	0.3231383937
52	0.3221266861
53	0.3208453204
54	0.3184909447
55	0.3164150451
56	0.3150603274
57	0.3139845071
58	0.3128669197
59	0.3112578019
60	0.3098085456
61	0.308608032
62	0.3072633449
63	0.3062447813
64	0.3054129263
65	0.3039869673
66	0.3029256694
67	0.3019473131
68	0.3012048707
69	0.3002663173
70	0.2991411269
71	0.2982604165
72	0.297550573
73	0.2967885923
74	0.2961777303
75	0.2950247581
76	0.2943812836
77	0.2936732045
78	0.2928944554
79	0.2922871189
80	0.2917526765
81	0.291049889
82	0.29037427
83	0.2898291189
84	0.2891023293
85	0.2884305039
86	0.2878618536
87	0.2869798822
88	0.2864102362
89	0.2858175732
90	0.2850396228
91	0.2841906875
92	0.283341759
93	0.282716461
94	0.282154965
95	0.2815861284
96	0.2812053522
97	0.2806846124
98	0.2801649601
99	0.2795364825
100	0.2789681471
101	0.2783970509
102	0.2779790716
103	0.2774569835
104	0.2769428321
105	0.2764394432
106	0.2758986558
107	0.2754400567
108	0.275054549
109	0.2745947284
110	0.2741428655
111	0.2734583256
112	0.2730785903
113	0.2725080611
114	0.2721892632
115	0.2718605244
116	0.2713245847
117	0.2708805536
118	0.2702957219
119	0.2698865769
120	0.2696447068
121	0.2693598232
122	0.2688769599
123	0.2684009554
124	0.2680788272
125	0.2676795883
126	0.2671336644
127	0.2666937216
128	0.2664848064
129	0.2660982581
130	0.2657670121
131	0.2651663133
132	0.264821979
133	0.2645154488
134	0.2642193339
135	0.263812246
136	0.2634944564
137	0.2631231918
138	0.2626800245
139	0.2623406726
140	0.2620640527
141	0.2616597005
142	0.2613449363
143	0.2609725422
144	0.2606048791
145	0.2601947407
146	0.2598424757
147	0.2595178883
148	0.2591520388
149	0.258726339
150	0.2582619944
151	0.2579562074
152	0.2574813282
153	0.2571419873
154	0.2569085943
155	0.2565561656
156	0.2562761675
157	0.2559810176
158	0.2558312696
159	0.255570933
160	0.2552778871
161	0.2549624868
162	0.2547082133
163	0.254294238
164	0.2539494852
165	0.2536173181
166	0.25334542
167	0.2530965971
168	0.2527298826
169	0.2524432183
170	0.2521403126
171	0.2518398899
172	0.2515150761
173	0.2512224441
174	0.2510148481
175	0.2507296418
176	0.2503551366
177	0.2499891583
178	0.2498222555
179	0.249614776
180	0.2493896508
181	0.2491368735
182	0.2488064304
183	0.2484481383
184	0.2481613315
185	0.2478800962
186	0.2476757873
187	0.2473842501
188	0.2471525351
189	0.2469424687
190	0.246651651
191	0.2464002506
192	0.246065395
193	0.2457749013
194	0.2454719509
195	0.2452303708
196	0.24487092
197	0.2446017862
198	0.2443524083
199	0.2441172455
200	0.2438592951
201	0.2435094515
202	0.2432314988
203	0.2429413857
204	0.2427349848
205	0.2425568185
206	0.2423708495
207	0.2421381528
208	0.2418681076
209	0.241683276
210	0.241433951
211	0.2411858013
212	0.2409033146
213	0.2406155274
214	0.2403329022
215	0.2401060284
216	0.2398359301
217	0.2395655758
218	0.2393681321
219	0.2391779488
220	0.2389529494
221	0.2386079148
222	0.2383468653
223	0.2381612755
224	0.2378834651
225	0.2376937043
226	0.2374936104
227	0.2372074231
228	0.2369937016
229	0.2367639272
230	0.2365860572
231	0.2363629346
232	0.2360112083
233	0.2357486749
234	0.2354784511
235	0.2352518498
236	0.2350255157
237	0.2348054237
238	0.2345855216
239	0.2343139176
240	0.2340204707
241	0.233771816
242	0.2335414086
243	0.2333052885
244	0.2330014196
245	0.2328173919
246	0.2325272998
247	0.2322755554
248	0.2321521878
249	0.2319649671
250	0.2317222975
251	0.2314440796
252	0.2312319995
253	0.2309760932
254	0.2307435824
255	0.2306019336
256	0.230398659
257	0.2301825944
258	0.2298893401
259	0.2297088062
260	0.2295582366
261	0.2293206761
262	0.2290807957
263	0.2288153575
264	0.2286206139
265	0.2284111775
266	0.2281708885
267	0.2278981357
268	0.2276724299
269	0.2274815185
270	0.2270998578
271	0.226864109
272	0.2266751046
273	0.2264482672
274	0.2262395431
275	0.2260629146
276	0.2257967244
277	0.2255491063
278	0.225310587
279	0.2250862765
280	0.2248898284
281	0.2245576109
282	0.2243457511
283	0.2240982445
284	0.2238876289
285	0.2237461245
286	0.2235739922
287	0.2233327853
288	0.2231795011
289	0.2229797563
290	0.2227580537
291	0.2225653359
292	0.2223171556
293	0.2220704181
294	0.2217964846
295	0.2215433661
296	0.2213461195
297	0.2211646954
298	0.2209905375
299	0.2206915899
300	0.2204819235
301	0.2202845518
302	0.2200290681
303	0.2198521579
304	0.2197187576
305	0.2195456024
306	0.2193056749
307	0.2190892166
308	0.2188774353
309	0.2186917209
310	0.2184987421
311	0.2182380583
312	0.2180190842
313	0.217710199
314	0.2174359768
315	0.2171887839
316	0.2168943916
317	0.2166554831
318	0.2164439498
319	0.2161184674
320	0.2159184612
321	0.215721387
322	0.2155646722
323	0.2153575253
324	0.215103043
325	0.2148668318
326	0.2146980438
327	0.2144659627
328	0.2142800236
329	0.2140517681
330	0.2137617901
331	0.21360051
332	0.2134339205
333	0.2132413031
334	0.2130219687
335	0.2127460116
336	0.2125613037
337	0.21231874
338	0.2120913317
339	0.2119228324
340	0.2116628049
341	0.2114670373
342	0.2112940687
343	0.2111218379
344	0.2109632133
345	0.2107794347
346	0.2105930848
347	0.2103701699
348	0.2101964532
349	0.2100806621
350	0.2098778709
351	0.2097068717
352	0.2093804551
353	0.2091837898
354	0.2089935043
355	0.2087919075
356	0.2086292188
357	0.2084397459
358	0.2082626124
359	0.2080544967
360	0.2079162275
361	0.207741163
362	0.2074564076
363	0.2071801538
364	0.2069902535
365	0.2067717747
366	0.2065702554
367	0.2063930416
368	0.2061375218
369	0.2059057509
370	0.2057393982
371	0.205580434
372	0.2053857621
373	0.2052445607
374	0.2050178451
375	0.2048416652
376	0.2046573107
377	0.2045237917
378	0.2043535788
379	0.204177523
380	0.2039274284
381	0.2036985224
382	0.2034603307
383	0.2032706117
384	0.2031206815
385	0.2029596205
386	0.2027333524
387	0.2025815378
388	0.2023736843
389	0.2020958185
390	0.2018814035
391	0.2015864956
392	0.2013463265
393	0.2011553375
394	0.2009334652
395	0.2006618442
396	0.2004424003
397	0.2002972277
398	0.2001596353
399	0.199869147
400	0.199634547
401	0.1994373374
402	0.1992700905
403	0.1990005907
404	0.1988130515
405	0.1986224852
406	0.1984070023
407	0.1981774193
408	0.1979964651
409	0.1977733113
410	0.1976019911
411	0.197306716
412	0.197133142
413	0.1969287235
414	0.196695581
415	0.1964898158
416	0.1962807513
417	0.1960668498
418	0.1958921575
419	0.1956591294
420	0.1954972723
421	0.1954062574
422	0.1951818603
423	0.1949868127
424	0.1947611629
425	0.1946085506
426	0.1943419173
427	0.1941227884
428	0.1939816453
429	0.1937936201
430	0.1935724882
431	0.1933768016
432	0.1931200015
433	0.1929813798
434	0.1926583589
435	0.1924943183
436	0.1922727665
437	0.1919415223
438	0.1916750377
439	0.1914528744
440	0.1911796916
441	0.1910257573
442	0.1908690183
443	0.1905411671
444	0.1903108233
445	0.1901429608
446	0.1900134488
447	0.1897885749
448	0.1895640534
449	0.1893605703
450	0.1890879115
451	0.1889033067
452	0.1885816662
453	0.1882741352
454	0.1880567666
455	0.1878213489
456	0.187668573
457	0.1874624289
458	0.187198426
459	0.1869168032
460	0.186664271
461	0.1863816032
462	0.1862471685
463	0.1859996592
464	0.1858057593
465	0.1856850575
466	0.1854099294
467	0.185225801
468	0.1850756169
469	0.1849172272
470	0.1845839531
471	0.1843687587
472	0.1841325537
473	0.1838634603
474	0.1836604291
475	0.1834134764
476	0.1832456788
477	0.1830694474
478	0.182831168
479	0.1826830318
480	0.1824285996
481	0.182272707
482	0.1820455127
483	0.1818073153
484	0.1816200412
485	0.1813799093
486	0.1811333509
487	0.1809237073
488	0.1807391731
489	0.1805632205
490	0.1803636944
491	0.1801624102
492	0.1799722086
493	0.1797122773
494	0.1795268459
495	0.1793728235
496	0.1791666089
497	0.1789543399
498	0.1787432539
499	0.1785307852
500	0.1782918673
501	0.1780452029
502	0.1778902308
503	0.1777348406
504	0.1774801946
505	0.1772130062
506	0.1769756391
507	0.1766905981
508	0.1764933392
509	0.1763062076
510	0.176131264
511	0.1759534473
512	0.1756729715
513	0.1754978719
514	0.1753224123
515	0.1750486578
516	0.1748893149
517	0.1746219196
518	0.1743835053
519	0.1741648659
520	0.1739802512
521	0.1738269938
522	0.1736697252
523	0.1735088828
524	0.1733222084
525	0.1731471683
526	0.1729735403
527	0.1727152735
528	0.1725056275
529	0.1723206943
530	0.1721786297
531	0.1719439485
532	0.17178684
533	0.1716341251
534	0.1714169064
535	0.1711791976
536	0.1709821244
537	0.1707383575
538	0.1705248079
539	0.1703511018
540	0.1702100951
541	0.1699664606
542	0.1697530848
543	0.1695178599
544	0.1693814207
545	0.1691981679
546	0.1689734129
547	0.1686858832
548	0.1684014523
549	0.1682204848
550	0.167987369
551	0.1677416506
552	0.1676245226
553	0.1674471969
554	0.1672190795
555	0.1670415055
556	0.1668794637
557	0.1666401093
558	0.1664779681
559	0.1662474904
560	0.1660118378
561	0.1657885178
562	0.1656518066
563	0.1653539057
564	0.1651788499
565	0.165047374
566	0.1648743685
567	0.1646334222
568	0.1644669547
569	0.1642899084
570	0.1641187794
571	0.1639343882
572	0.1636947077
573	0.163567775
574	0.1633684105
575	0.1631826301
576	0.1629510889
577	0.1627683901
578	0.1624997677
579	0.1622811916
580	0.1620841062
581	0.1618510974
582	0.1616777671
583	0.1615114661
584	0.1613184973
585	0.1611656044
586	0.1609915802
587	0.1607567289
588	0.1605634212
589	0.1604112701
590	0.1602383414
591	0.1600867948
592	0.1598855979
593	0.1597043146
594	0.1594721619
595	0.1592763765
596	0.1590324353
597	0.1588275884
598	0.1586822997
599	0.158515591
600	0.1583017235
601	0.158145703
602	0.157960497
603	0.1578147487
604	0.157560502
605	0.1572959702
606	0.1570114738
607	0.1568212452
608	0.1566319835
609	0.156499442
610	0.1563923963
611	0.1562188494
612	0.1560219572
613	0.1558020172
614	0.155549132
615	0.1553774596
616	0.1552022833
617	0.1550719303
618	0.1548917307
619	0.1546540151
620	0.1544457575
621	0.154272813
622	0.1540631028
623	0.1538860926
624	0.1537454394
625	0.1535747576
626	0.1534096442
627	0.1532014957
628	0.1530275936
629	0.1528565558
630	0.1526891199
631	0.1525319172
632	0.1523788562
633	0.152197607
634	0.152009937
635	0.1518662171
636	0.151670847
637	0.1514791529
638	0.1513177265
639	0.1510808963
640	0.1509051178
641	0.1508005848
642	0.1506115448
643	0.1504243474
644	0.1502035721
645	0.1500652731
646	0.1499129302
647	0.149718946
648	0.1495286583
649	0.1493522173
650	0.149136939
651	0.1489819976
652	0.1487806267
653	0.1486487315
654	0.148511856
655	0.1482831598
656	0.1481482276
657	0.1479526672
658	0.1477882813
659	0.1476521826
660	0.1474848396
661	0.1473292013
662	0.147171322
663	0.1470310782
664	0.1468622541
665	0.1466787167
666	0.1464822189
667	0.1463534912
668	0.146176145
669	0.1460069364
670	0.1458450122
671	0.1457348641
672	0.1455447161
