iter	Passed	Remaining
0	136	136051	1	203	101760
2	252	84035
33	408	104	44	4	478	95	5485	557	96	6246	634	87	6907	706	88	7748	771	89	8349	852	810	9010	952	85600
11	1026	84536
12	1089	82740
13	1144	14	11914	1217	15	12615	1275	16	13316	1346	17	14017	1399	18	14818	1485	19	15519	1553	20	16020	1634	76182
21	1712	76127
22	1763	74915
23	1828	74364
24	1883	73438
25	1943	72793
26	2008	72380
27	2183	75814
28	2257	75603
29	2348	75930
30	2384	74522
31	2451	74163
32	2501	73291
33	2568	72986
34	2637	72714
35	2699	72273
36	2743	71415
37	2802	70957
38	2863	70564
39	2954	70911
40	3045	71225
41	3102	70776
42	3101	69030
43	3174	68979
44	3252	69034
45	3350	69492
46	3538	71756
47	3579	70997
48	3643	70708
49	3708	70468
50	3752	69831
51	3824	69725
52	3870	69155
53	3953	69252
54	3996	68666
55	4052	68317
56	4186	69266
57	4259	69177
58	4299	68578
59	4334	67909
60	4370	67279
61	4407	66677
62	4451	66210
63	4498	64	44164	4532	65	4504	63750
66	4596	64010
67	4714	64614
68	4799	64756
69	4862	64598
70	4931	64523
71	4997	64415
72	5063	64303
73	5138	64295
74	5243	64664
75	5275	64133
76	5332	63916
77	5383	63641
78	5446	63499
79	5506	63320
80	5566	63156
81	5645	63200
82	5690	62871
83	5742	62618
84	5781	62232
85	5855	62231
86	5894	61854
87	5936	61523
88	5973	61149
89	6007	60745
90	6062	60554
91	6127	60474
92	6186	60335
93	6253	60269
94	6298	60005
95	6349	59790
96	6428	59840
97	6485	59697
98	6552	59633
99	6598	59388
100	6649	59187
101	6698	58970
102	6773	58990
103	6843	58962
104	6902	58833
105	6981	58880
106	7036	58728
107	7097	58616
108	7171	58625
109	7243	58609
110	7302	58486
111	7367	58413
112	7420	58244
113	7480	58136
114	7532	57969
115	7601	57928
116	7691	58044
117	7754	57960
118	7791	57686
119	7847	57551
120	7904	57421
121	7954	57245
122	8017	57168
123	8072	57030
124	8126	56882
125	8171	56681
126	8215	56472
127	8264	56304
128	8322	56191
129	8382	56099
130	8438	55980
131	8505	55929
132	8552	55751
133	8603	55604
134	8641	55372
135	8700	55275
136	8735	55024
137	8808	55022
138	8843	54780
139	8898	54659
140	8954	54549
141	9018	54490
142	9069	54351
143	9129	54272
144	9170	54075
145	9228	53980
146	9287	53894
147	9336	53747
148	9386	53610
149	9430	53440
150	9477	53286
151	9526	53146
152	9576	53013
153	9625	52879
154	9679	52769
155	9733	52659
156	9776	52492
157	9817	52317
158	9869	52204
159	9922	52092
160	9991	52068
161	10032	51895
162	10088	51804
163	10127	51627
164	10171	51474
165	10226	51377
166	10268	51220
167	10308	51051
168	10360	50944
169	10431	50928
170	10487	50842
171	10546	50770
172	10595	50650
173	10653	50573
174	10712	50499
175	10781	50475
176	10816	50292
177	10867	50187
178	10920	50087
179	10972	49987
180	11036	49936
